"ngram","year","frequency"
"a",2000,0.0141872717067599
"a",2001,0.0142404746264219
"a",2002,0.0142806374157468
"a",2003,0.0143241081386805
"a",2004,0.0144120981650693
"a",2005,0.0145135910383293
"a",2006,0.0146501601806709
"a",2007,0.0147852978802153
"a",2008,0.0149129883253149
"a",2009,0.0149897535198501
"a",2010,0.015074262129409
"a",2011,0.0151675576344132
"a",2012,0.0152221729180643
"a",2013,0.0152165490601744
"a",2014,0.0151854480749794
"a",2015,0.015112488131438
"a",2016,0.0151184221197452
"a",2017,0.0129503517278603
"a",2018,0.0107602713895696
"a",2019,0.00858253067625421
"a",2020,0.00749049723769228
"a",2021,0.00597934909164906
"a",2022,0.00376508641056716
"b",2000,0.000304391418467276
"b",2001,0.000296581239672378
"b",2002,0.000292450369064075
"b",2003,0.000288547278614715
"b",2004,0.000280278077947774
"b",2005,0.000269546082043754
"b",2006,0.000260242984430598
"b",2007,0.000250257354179796
"b",2008,0.00024256926345905
"b",2009,0.000235706245543302
"b",2010,0.000226409471776736
"b",2011,0.000216145687902878
"b",2012,0.000205383469749774
"b",2013,0.000197830520586909
"b",2014,0.000191284896573052
"b",2015,0.000185131985095463
"b",2016,0.000178942236483895
"b",2017,0.000150363476547812
"b",2018,0.000124536743637041
"b",2019,9.98309967274378e-05
"b",2020,8.64716372840727e-05
"b",2021,6.97760318871588e-05
"b",2022,4.51066625828389e-05
"c",2000,0.00023531575789093
"c",2001,0.000230006384663284
"c",2002,0.000226673376649463
"c",2003,0.000223773727027167
"c",2004,0.000217281454492227
"c",2005,0.000209691352210939
"c",2006,0.000202451682915645
"c",2007,0.000195558147554818
"c",2008,0.000188604764324347
"c",2009,0.000182724582763123
"c",2010,0.000175111538348054
"c",2011,0.000168255476247785
"c",2012,0.000161517268030106
"c",2013,0.000156293847664659
"c",2014,0.000152274018286594
"c",2015,0.000150753295331794
"c",2016,0.00014972871369017
"c",2017,0.000127859496777611
"c",2018,0.000106835835530157
"c",2019,8.6145826831593e-05
"c",2020,7.59758622734807e-05
"c",2021,6.2225028523244e-05
"c",2022,4.04187485401053e-05
"d",2000,0.00017161143841804
"d",2001,0.000169368510250933
"d",2002,0.000168872427214713
"d",2003,0.000167852009846164
"d",2004,0.000166293541302106
"d",2005,0.000163352414217245
"d",2006,0.000161490559029127
"d",2007,0.000160716696492662
"d",2008,0.000160836138612857
"d",2009,0.000159713009322461
"d",2010,0.00015797871414439
"d",2011,0.000157558315549977
"d",2012,0.000156702022650279
"d",2013,0.000156119122818512
"d",2014,0.000156971509568393
"d",2015,0.000156173906621656
"d",2016,0.000157396080404786
"d",2017,0.000136026160492163
"d",2018,0.000113697177896808
"d",2019,9.17165078655151e-05
"d",2020,8.11325929438074e-05
"d",2021,6.45469990558922e-05
"d",2022,4.1771330870688e-05
"e",2000,0.000191256560356123
"e",2001,0.000188847692334093
